;regiao;estado;municipio;coduf;codmun;codRegiaoSaude;nomeRegiaoSaude;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;interior/metropolitana;Acumulados_100mil;ObitosAcumulados_100mil
2244;Sudeste;MG;Abadia dos Dourados;31;310010.0;31074.0;PATROCINIO / MONTE CARMELO;2021-02-25;8;6989.0;248;23;3;0;0.0;0.00248;3e-05
2245;Sudeste;MG;Abaeté;31;310020.0;31024.0;SETE LAGOAS;2021-02-25;8;23237.0;479;3;8;0;0.0;0.00479;8e-05
2246;Sudeste;MG;Abre Campo;31;310030.0;31059.0;MANHUACU;2021-02-25;8;13454.0;371;6;5;1;0.0;0.00371;5e-05
2247;Sudeste;MG;Acaiaca;31;310040.0;31060.0;PONTE NOVA;2021-02-25;8;3994.0;113;0;4;0;0.0;0.00113;4e-05
2248;Sudeste;MG;Açucena;31;310050.0;31037.0;IPATINGA;2021-02-25;8;9470.0;237;3;10;1;0.0;0.00237;0.0001
2249;Sudeste;MG;Água Boa;31;310060.0;31081.0;SANTA MARIA DO SUACUI;2021-02-25;8;13735.0;216;0;6;0;0.0;0.00216;6e-05
2250;Sudeste;MG;Água Comprida;31;310070.0;31072.0;UBERABA;2021-02-25;8;1999.0;42;1;0;0;0.0;0.00042;0.0
2251;Sudeste;MG;Aguanil;31;310080.0;31089.0;CAMPO BELO;2021-02-25;8;4486.0;252;2;7;0;0.0;0.00252;7e-05
2252;Sudeste;MG;Águas Formosas;31;310090.0;31062.0;AGUAS FORMOSAS;2021-02-25;8;19207.0;559;0;15;0;0.0;0.00559;0.00015
2253;Sudeste;MG;Águas Vermelhas;31;310100.0;31068.0;PEDRA AZUL;2021-02-25;8;13539.0;247;0;3;0;0.0;0.00247;3e-05
2254;Sudeste;MG;Aimorés;31;310110.0;31040.0;RESPLENDOR;2021-02-25;8;25167.0;1125;3;30;1;0.0;0.01125;0.0003
2255;Sudeste;MG;Aiuruoca;31;310120.0;31008.0;SAO LOURENCO;2021-02-25;8;6003.0;74;0;5;0;0.0;0.00074;5e-05
2256;Sudeste;MG;Alagoa;31;310130.0;31008.0;SAO LOURENCO;2021-02-25;8;2674.0;159;0;0;0;0.0;0.00159;0.0
2257;Sudeste;MG;Albertina;31;310140.0;31006.0;POCOS DE CALDAS;2021-02-25;8;3007.0;119;5;5;0;0.0;0.00119;5e-05
2258;Sudeste;MG;Além Paraíba;31;310150.0;31041.0;ALEM  PARAIBA;2021-02-25;8;35362.0;1647;0;57;0;0.0;0.01647;0.00057
2259;Sudeste;MG;Alfenas;31;310160.0;31001.0;ALFENAS / MACHADO;2021-02-25;8;79996.0;3982;18;94;0;0.0;0.03982;0.00094
2260;Sudeste;MG;Alfredo Vasconcelos;31;310163.0;31013.0;BARBACENA;2021-02-25;8;6907.0;142;0;5;0;0.0;0.00142;5e-05
2261;Sudeste;MG;Almenara;31;310170.0;31094.0;ALMENARA/JACINTO;2021-02-25;8;41896.0;2225;0;25;0;0.0;0.02225;0.00025
2262;Sudeste;MG;Alpercata;31;310180.0;31036.0;GOVERNADOR VALADARES;2021-02-25;8;7424.0;333;0;12;0;0.0;0.00333;0.00012
2263;Sudeste;MG;Alpinópolis;31;310190.0;31092.0;PASSOS;2021-02-25;8;19853.0;432;0;6;0;0.0;0.00432;6e-05
2264;Sudeste;MG;Alterosa;31;310200.0;31001.0;ALFENAS / MACHADO;2021-02-25;8;14466.0;462;2;23;1;0.0;0.00462;0.00023
2265;Sudeste;MG;Alto Caparaó;31;310205.0;31059.0;MANHUACU;2021-02-25;8;5847.0;257;0;7;0;0.0;0.00257;7e-05
2266;Sudeste;MG;Alto Rio Doce;31;310210.0;31013.0;BARBACENA;2021-02-25;8;11000.0;194;0;15;0;0.0;0.00194;0.00015
2267;Sudeste;MG;Alvarenga;31;310220.0;31040.0;RESPLENDOR;2021-02-25;8;3907.0;325;-4;3;0;0.0;0.00325;3e-05
2268;Sudeste;MG;Alvinópolis;31;310230.0;31060.0;PONTE NOVA;2021-02-25;8;15203.0;290;0;3;0;0.0;0.0029;3e-05
2269;Sudeste;MG;Alvorada de Minas;31;310240.0;31095.0;SERRO;2021-02-25;8;3606.0;141;3;1;0;0.0;0.00141;1e-05
2270;Sudeste;MG;Amparo do Serra;31;310250.0;31060.0;PONTE NOVA;2021-02-25;8;4713.0;78;0;3;0;0.0;0.00078;3e-05
2271;Sudeste;MG;Andradas;31;310260.0;31006.0;POCOS DE CALDAS;2021-02-25;8;41077.0;1409;62;32;0;0.0;0.01409;0.00032
2272;Sudeste;MG;Cachoeira de Pajeú;31;310270.0;31068.0;PEDRA AZUL;2021-02-25;8;9412.0;293;0;5;0;0.0;0.00293;5e-05
2273;Sudeste;MG;Andrelândia;31;310280.0;31090.0;LIMA DUARTE;2021-02-25;8;12224.0;188;1;3;0;0.0;0.00188;3e-05
2274;Sudeste;MG;Angelândia;31;310285.0;31099.0;TEOFILO OTONI / MALACACHETA;2021-02-25;8;8520.0;67;14;0;0;0.0;0.00067;0.0
2275;Sudeste;MG;Antônio Carlos;31;310290.0;31013.0;BARBACENA;2021-02-25;8;11445.0;322;0;6;0;0.0;0.00322;6e-05
2276;Sudeste;MG;Antônio Dias;31;310300.0;31035.0;CORONEL FABRICIANO/TIMOTEO;2021-02-25;8;9318.0;260;0;6;0;0.0;0.0026;6e-05
2277;Sudeste;MG;Antônio Prado de Minas;31;310310.0;31045.0;MURIAE;2021-02-25;8;1598.0;135;0;3;0;0.0;0.00135;3e-05
2278;Sudeste;MG;Araçaí;31;310320.0;31024.0;SETE LAGOAS;2021-02-25;8;2347.0;23;0;0;0;0.0;0.00023;0.0
2279;Sudeste;MG;Aracitaba;31;310330.0;31046.0;SANTOS DUMONT;2021-02-25;8;2063.0;68;0;5;0;0.0;0.00068;5e-05
2280;Sudeste;MG;Araçuaí;31;310340.0;31064.0;ARACUAI;2021-02-25;8;36708.0;567;1;16;0;0.0;0.00567;0.00016
2281;Sudeste;MG;Araguari;31;310350.0;31075.0;UBERLANDIA / ARAGUARI;2021-02-25;8;117267.0;8310;162;203;2;0.0;0.0831;0.00203
2282;Sudeste;MG;Arantina;31;310360.0;31090.0;LIMA DUARTE;2021-02-25;8;2795.0;51;1;2;0;0.0;0.00051;2e-05
2283;Sudeste;MG;Araponga;31;310370.0;31061.0;VICOSA;2021-02-25;8;8439.0;232;0;1;0;0.0;0.00232;1e-05
2284;Sudeste;MG;Araporã;31;310375.0;31075.0;UBERLANDIA / ARAGUARI;2021-02-25;8;6869.0;1161;0;14;2;0.0;0.01161;0.00014
2285;Sudeste;MG;Arapuá;31;310380.0;31082.0;SAO GOTARDO;2021-02-25;8;2834.0;77;0;1;0;0.0;0.00077;1e-05
2286;Sudeste;MG;Araújos;31;310390.0;31086.0;DIVINOPOLIS;2021-02-25;8;9273.0;339;0;2;0;0.0;0.00339;2e-05
2287;Sudeste;MG;Araxá;31;310400.0;31070.0;ARAXA;2021-02-25;8;106229.0;5586;152;62;4;0.0;0.05586;0.00062
2288;Sudeste;MG;Arceburgo;31;310410.0;31002.0;GUAXUPE;2021-02-25;8;10772.0;385;0;6;0;0.0;0.00385;6e-05
2289;Sudeste;MG;Arcos;31;310420.0;31087.0;LAGOA DA PRATA/STO ANT DO MONTE;2021-02-25;8;40092.0;2024;75;22;1;0.0;0.02024;0.00022
2290;Sudeste;MG;Areado;31;310430.0;31001.0;ALFENAS / MACHADO;2021-02-25;8;15070.0;384;2;8;0;0.0;0.00384;8e-05
2291;Sudeste;MG;Argirita;31;310440.0;31044.0;LEOPOLDINA / CATAGUASES;2021-02-25;8;2727.0;202;0;5;0;0.0;0.00202;5e-05
2292;Sudeste;MG;Aricanduva;31;310445.0;31027.0;TURMALINA/MINAS NOVAS/CAPELINHA;2021-02-25;8;5231.0;30;0;0;0;0.0;0.0003;0.0
2293;Sudeste;MG;Arinos;31;310450.0;31058.0;UNAI;2021-02-25;8;17875.0;179;0;5;1;0.0;0.00179;5e-05
2294;Sudeste;MG;Astolfo Dutra;31;310460.0;31044.0;LEOPOLDINA / CATAGUASES;2021-02-25;8;14179.0;796;3;13;0;0.0;0.00796;0.00013
2295;Sudeste;MG;Ataléia;31;310470.0;31099.0;TEOFILO OTONI / MALACACHETA;2021-02-25;8;12868.0;670;0;5;0;0.0;0.0067;5e-05
2296;Sudeste;MG;Augusto de Lima;31;310480.0;31019.0;CURVELO;2021-02-25;8;4869.0;123;0;4;0;0.0;0.00123;4e-05
2297;Sudeste;MG;Baependi;31;310490.0;31008.0;SAO LOURENCO;2021-02-25;8;19148.0;787;7;10;0;0.0;0.00787;0.0001
2298;Sudeste;MG;Baldim;31;310500.0;31024.0;SETE LAGOAS;2021-02-25;8;7826.0;271;2;6;0;1.0;0.00271;6e-05
2299;Sudeste;MG;Bambuí;31;310510.0;31030.0;FORMIGA;2021-02-25;8;23829.0;439;4;3;0;0.0;0.00439;3e-05
2300;Sudeste;MG;Bandeira;31;310520.0;31094.0;ALMENARA/JACINTO;2021-02-25;8;4795.0;405;0;8;0;0.0;0.00405;8e-05
2301;Sudeste;MG;Bandeira do Sul;31;310530.0;31001.0;ALFENAS / MACHADO;2021-02-25;8;5746.0;99;1;5;0;0.0;0.00099;5e-05
2302;Sudeste;MG;Barão de Cocais;31;310540.0;31021.0;ITABIRA;2021-02-25;8;32485.0;1547;55;14;0;0.0;0.01547;0.00014
2303;Sudeste;MG;Barão de Monte Alto;31;310550.0;31045.0;MURIAE;2021-02-25;8;5397.0;142;0;6;0;0.0;0.00142;6e-05
2304;Sudeste;MG;Barbacena;31;310560.0;31013.0;BARBACENA;2021-02-25;8;137313.0;3561;0;83;0;0.0;0.03561;0.00083
2305;Sudeste;MG;Barra Longa;31;310570.0;31060.0;PONTE NOVA;2021-02-25;8;5131.0;137;0;1;0;0.0;0.00137;1e-05
2306;Sudeste;MG;Barroso;31;310590.0;31015.0;SAO JOAO DEL REI;2021-02-25;8;20810.0;475;3;8;0;0.0;0.00475;8e-05
2307;Sudeste;MG;Bela Vista de Minas;31;310600.0;31023.0;JOAO MONLEVADE;2021-02-25;8;10255.0;372;0;9;0;0.0;0.00372;9e-05
2308;Sudeste;MG;Belmiro Braga;31;310610.0;31097.0;JUIZ DE FORA;2021-02-25;8;3429.0;117;0;3;0;0.0;0.00117;3e-05
2309;Sudeste;MG;Belo Horizonte;31;310620.0;31016.0;BELO HORIZONTE/ NOVA LIMA/ CAETE ;2021-02-25;8;2512070.0;107891;2366;2707;15;1.0;1.07891;0.02707
2310;Sudeste;MG;Belo Oriente;31;310630.0;31037.0;IPATINGA;2021-02-25;8;26700.0;1472;17;26;0;0.0;0.01472;0.00026
2311;Sudeste;MG;Belo Vale;31;310640.0;31016.0;BELO HORIZONTE/ NOVA LIMA/ CAETE ;2021-02-25;8;7715.0;289;0;6;0;0.0;0.00289;6e-05
2312;Sudeste;MG;Berilo;31;310650.0;31064.0;ARACUAI;2021-02-25;8;11932.0;10;0;0;0;0.0;0.0001;0.0
2313;Sudeste;MG;Bertópolis;31;310660.0;31062.0;AGUAS FORMOSAS;2021-02-25;8;4604.0;219;1;0;0;0.0;0.00219;0.0
2314;Sudeste;MG;Berizal;31;310665.0;31085.0;TAIOBEIRAS;2021-02-25;8;4735.0;67;0;0;0;0.0;0.00067;0.0
2315;Sudeste;MG;Betim;31;310670.0;31017.0;BETIM;2021-02-25;8;439340.0;17885;136;450;1;1.0;0.17885;0.0045
2316;Sudeste;MG;Bias Fortes;31;310680.0;31090.0;LIMA DUARTE;2021-02-25;8;3379.0;74;1;2;0;0.0;0.00074;2e-05
2317;Sudeste;MG;Bicas;31;310690.0;31047.0;SAO JOAO NEPOMUCENO / BICAS;2021-02-25;8;14494.0;554;12;17;0;0.0;0.00554;0.00017
2318;Sudeste;MG;Biquinhas;31;310700.0;31024.0;SETE LAGOAS;2021-02-25;8;2515.0;28;0;0;0;0.0;0.00028;0.0
2319;Sudeste;MG;Boa Esperança;31;310710.0;31011.0;TRES PONTAS;2021-02-25;8;40127.0;1178;48;35;1;0.0;0.01178;0.00035
2320;Sudeste;MG;Bocaina de Minas;31;310720.0;31090.0;LIMA DUARTE;2021-02-25;8;5090.0;71;0;2;0;0.0;0.00071;2e-05
2321;Sudeste;MG;Bocaiúva;31;310730.0;31083.0;BOCAIUVA;2021-02-25;8;49979.0;871;2;19;1;0.0;0.00871;0.00019
2322;Sudeste;MG;Bom Despacho;31;310740.0;31028.0;BOM DESPACHO;2021-02-25;8;50605.0;2015;11;38;1;0.0;0.02015;0.00038
2323;Sudeste;MG;Bom Jardim de Minas;31;310750.0;31090.0;LIMA DUARTE;2021-02-25;8;6474.0;124;0;1;0;0.0;0.00124;1e-05
2324;Sudeste;MG;Bom Jesus da Penha;31;310760.0;31092.0;PASSOS;2021-02-25;8;4217.0;179;1;2;0;0.0;0.00179;2e-05
2325;Sudeste;MG;Bom Jesus do Amparo;31;310770.0;31021.0;ITABIRA;2021-02-25;8;6083.0;97;0;3;0;0.0;0.00097;3e-05
2326;Sudeste;MG;Bom Jesus do Galho;31;310780.0;31034.0;CARATINGA;2021-02-25;8;14935.0;290;0;11;0;0.0;0.0029;0.00011
2327;Sudeste;MG;Bom Repouso;31;310790.0;31007.0;POUSO ALEGRE;2021-02-25;8;10547.0;298;2;8;0;0.0;0.00298;8e-05
2328;Sudeste;MG;Bom Sucesso;31;310800.0;31015.0;SAO JOAO DEL REI;2021-02-25;8;17603.0;218;1;4;0;0.0;0.00218;4e-05
2329;Sudeste;MG;Bonfim;31;310810.0;31017.0;BETIM;2021-02-25;8;6868.0;185;0;3;0;0.0;0.00185;3e-05
2330;Sudeste;MG;Bonfinópolis de Minas;31;310820.0;31058.0;UNAI;2021-02-25;8;5493.0;221;0;9;0;0.0;0.00221;9e-05
2331;Sudeste;MG;Bonito de Minas;31;310825.0;31053.0;JANUARIA;2021-02-25;8;11230.0;14;0;0;0;0.0;0.00014;0.0
2332;Sudeste;MG;Borda da Mata;31;310830.0;31007.0;POUSO ALEGRE;2021-02-25;8;19412.0;770;3;23;0;0.0;0.0077;0.00023
2333;Sudeste;MG;Botelhos;31;310840.0;31001.0;ALFENAS / MACHADO;2021-02-25;8;14971.0;374;1;4;0;0.0;0.00374;4e-05
2334;Sudeste;MG;Botumirim;31;310850.0;31051.0;FRANCISCO SA;2021-02-25;8;6319.0;102;0;1;0;0.0;0.00102;1e-05
2335;Sudeste;MG;Brasilândia de Minas;31;310855.0;31077.0;JOAO PINHEIRO;2021-02-25;8;16538.0;645;0;7;0;0.0;0.00645;7e-05
2336;Sudeste;MG;Brasília de Minas;31;310860.0;31049.0;BRASILIA DE MINAS/SAO FRANCISCO;2021-02-25;8;32347.0;504;1;5;0;0.0;0.00504;5e-05
2337;Sudeste;MG;Brás Pires;31;310870.0;31048.0;UBA;2021-02-25;8;4333.0;99;0;5;0;0.0;0.00099;5e-05
2338;Sudeste;MG;Braúnas;31;310880.0;31037.0;IPATINGA;2021-02-25;8;4801.0;93;1;3;0;0.0;0.00093;3e-05
2339;Sudeste;MG;Brazópolis;31;310890.0;31003.0;ITAJUBA;2021-02-25;8;14459.0;467;0;15;0;0.0;0.00467;0.00015
2340;Sudeste;MG;Brumadinho;31;310900.0;31017.0;BETIM;2021-02-25;8;40103.0;2124;3;30;0;1.0;0.02124;0.0003
2341;Sudeste;MG;Bueno Brandão;31;310910.0;31007.0;POUSO ALEGRE;2021-02-25;8;11001.0;283;5;7;0;0.0;0.00283;7e-05
2342;Sudeste;MG;Buenópolis;31;310920.0;31019.0;CURVELO;2021-02-25;8;10365.0;150;0;5;0;0.0;0.0015;5e-05
2343;Sudeste;MG;Bugre;31;310925.0;31037.0;IPATINGA;2021-02-25;8;3982.0;286;0;9;0;0.0;0.00286;9e-05
2344;Sudeste;MG;Buritis;31;310930.0;31058.0;UNAI;2021-02-25;8;24841.0;689;3;9;1;0.0;0.00689;9e-05
2345;Sudeste;MG;Buritizeiro;31;310940.0;31055.0;PIRAPORA;2021-02-25;8;28056.0;570;0;16;0;0.0;0.0057;0.00016
2346;Sudeste;MG;Cabeceira Grande;31;310945.0;31058.0;UNAI;2021-02-25;8;6949.0;127;1;3;0;0.0;0.00127;3e-05
2347;Sudeste;MG;Cabo Verde;31;310950.0;31002.0;GUAXUPE;2021-02-25;8;14075.0;249;7;5;2;0.0;0.00249;5e-05
2348;Sudeste;MG;Cachoeira da Prata;31;310960.0;31024.0;SETE LAGOAS;2021-02-25;8;3603.0;170;0;2;0;0.0;0.0017;2e-05
2349;Sudeste;MG;Cachoeira de Minas;31;310970.0;31007.0;POUSO ALEGRE;2021-02-25;8;11547.0;371;4;4;0;0.0;0.00371;4e-05
2350;Sudeste;MG;Cachoeira Dourada;31;310980.0;31073.0;ITUIUTABA;2021-02-25;8;2692.0;106;5;0;0;0.0;0.00106;0.0
2351;Sudeste;MG;Caetanópolis;31;310990.0;31024.0;SETE LAGOAS;2021-02-25;8;11624.0;542;5;4;0;0.0;0.00542;4e-05
2352;Sudeste;MG;Caeté;31;311000.0;31016.0;BELO HORIZONTE/ NOVA LIMA/ CAETE ;2021-02-25;8;44718.0;990;0;32;0;1.0;0.0099;0.00032
2353;Sudeste;MG;Caiana;31;311010.0;31042.0;CARANGOLA;2021-02-25;8;5496.0;85;0;2;0;0.0;0.00085;2e-05
2354;Sudeste;MG;Cajuri;31;311020.0;31061.0;VICOSA;2021-02-25;8;3987.0;180;0;1;0;0.0;0.0018;1e-05
2355;Sudeste;MG;Caldas;31;311030.0;31006.0;POCOS DE CALDAS;2021-02-25;8;14480.0;391;6;12;0;0.0;0.00391;0.00012
2356;Sudeste;MG;Camacho;31;311040.0;31089.0;CAMPO BELO;2021-02-25;8;2901.0;46;0;1;0;0.0;0.00046;1e-05
2357;Sudeste;MG;Camanducaia;31;311050.0;31007.0;POUSO ALEGRE;2021-02-25;8;21770.0;1674;0;20;0;0.0;0.01674;0.0002
2358;Sudeste;MG;Cambuí;31;311060.0;31007.0;POUSO ALEGRE;2021-02-25;8;29551.0;1401;3;18;0;0.0;0.01401;0.00018
2359;Sudeste;MG;Cambuquira;31;311070.0;31010.0;TRES CORACOES;2021-02-25;8;12814.0;191;1;7;0;0.0;0.00191;7e-05
2360;Sudeste;MG;Campanário;31;311080.0;31096.0;ITAMBACURI;2021-02-25;8;3721.0;85;1;0;0;0.0;0.00085;0.0
2361;Sudeste;MG;Campanha;31;311090.0;31010.0;TRES CORACOES;2021-02-25;8;16665.0;782;8;13;0;0.0;0.00782;0.00013
2362;Sudeste;MG;Campestre;31;311100.0;31001.0;ALFENAS / MACHADO;2021-02-25;8;21055.0;570;1;7;0;0.0;0.0057;7e-05
2363;Sudeste;MG;Campina Verde;31;311110.0;31073.0;ITUIUTABA;2021-02-25;8;19745.0;339;7;14;0;0.0;0.00339;0.00014
2364;Sudeste;MG;Campo Azul;31;311115.0;31049.0;BRASILIA DE MINAS/SAO FRANCISCO;2021-02-25;8;3817.0;52;0;0;0;0.0;0.00052;0.0
2365;Sudeste;MG;Campo Belo;31;311120.0;31089.0;CAMPO BELO;2021-02-25;8;54029.0;2315;0;54;1;0.0;0.02315;0.00054
2366;Sudeste;MG;Campo do Meio;31;311130.0;31001.0;ALFENAS / MACHADO;2021-02-25;8;11655.0;283;0;4;0;0.0;0.00283;4e-05
2367;Sudeste;MG;Campo Florido;31;311140.0;31072.0;UBERABA;2021-02-25;8;8151.0;337;3;1;0;0.0;0.00337;1e-05
2368;Sudeste;MG;Campos Altos;31;311150.0;31070.0;ARAXA;2021-02-25;8;15461.0;443;1;8;0;0.0;0.00443;8e-05
2369;Sudeste;MG;Campos Gerais;31;311160.0;31001.0;ALFENAS / MACHADO;2021-02-25;8;28774.0;535;3;10;0;0.0;0.00535;0.0001
2370;Sudeste;MG;Canaã;31;311170.0;31061.0;VICOSA;2021-02-25;8;4563.0;101;2;1;0;0.0;0.00101;1e-05
2371;Sudeste;MG;Canápolis;31;311180.0;31073.0;ITUIUTABA;2021-02-25;8;12150.0;584;5;12;0;0.0;0.00584;0.00012
2372;Sudeste;MG;Cana Verde;31;311190.0;31089.0;CAMPO BELO;2021-02-25;8;5603.0;160;1;2;0;0.0;0.0016;2e-05
2373;Sudeste;MG;Candeias;31;311200.0;31089.0;CAMPO BELO;2021-02-25;8;14886.0;237;1;3;0;0.0;0.00237;3e-05
2374;Sudeste;MG;Cantagalo;31;311205.0;31080.0;PECANHA/SAO JOAO EVANGELISTA;2021-02-25;8;4525.0;108;0;1;0;0.0;0.00108;1e-05
2375;Sudeste;MG;Caparaó;31;311210.0;31042.0;CARANGOLA;2021-02-25;8;5438.0;282;0;3;0;0.0;0.00282;3e-05
2376;Sudeste;MG;Capela Nova;31;311220.0;31013.0;BARBACENA;2021-02-25;8;4653.0;57;2;2;0;0.0;0.00057;2e-05
2377;Sudeste;MG;Capelinha;31;311230.0;31027.0;TURMALINA/MINAS NOVAS/CAPELINHA;2021-02-25;8;37784.0;852;19;9;1;0.0;0.00852;9e-05
2378;Sudeste;MG;Capetinga;31;311240.0;31091.0;CASSIA;2021-02-25;8;6920.0;293;0;4;0;0.0;0.00293;4e-05
2379;Sudeste;MG;Capim Branco;31;311250.0;31024.0;SETE LAGOAS;2021-02-25;8;9754.0;231;4;4;0;1.0;0.00231;4e-05
2380;Sudeste;MG;Capinópolis;31;311260.0;31073.0;ITUIUTABA;2021-02-25;8;16173.0;1086;12;19;2;0.0;0.01086;0.00019
2381;Sudeste;MG;Capitão Andrade;31;311265.0;31036.0;GOVERNADOR VALADARES;2021-02-25;8;5468.0;191;0;11;0;0.0;0.00191;0.00011
2382;Sudeste;MG;Capitão Enéas;31;311270.0;31051.0;FRANCISCO SA;2021-02-25;8;15234.0;235;0;6;0;0.0;0.00235;6e-05
2383;Sudeste;MG;Capitólio;31;311280.0;31093.0;PIUMHI;2021-02-25;8;8632.0;387;0;12;0;0.0;0.00387;0.00012
2384;Sudeste;MG;Caputira;31;311290.0;31059.0;MANHUACU;2021-02-25;8;9298.0;300;1;7;1;0.0;0.003;7e-05
2385;Sudeste;MG;Caraí;31;311300.0;31067.0;PADRE PARAISO;2021-02-25;8;23685.0;616;4;10;0;0.0;0.00616;0.0001
